Pn	Ps	Dn	Ds	skipped_codons	NI	alpha	pvalue	file
3	7	394	637	272	0.6928934010152283	0.30710659898477166	0.7497969232871995	556at7088.fasta
0	0	64	71	2				14165at7088.fasta
0	0	79	322	10				1787at7088.fasta
1	2	180	74	86	0.20555555555555555	0.7944444444444445	0.2096267738612955	12183at7088.fasta
0	0	19	79	3				12517at7088.fasta
0	1	104	160	79	0.0	1.0		11507at7088.fasta
1	1	200	187	98	0.9349999999999999	0.06500000000000006	1.0	3514at7088.fasta
2	11	135	250	28	0.33670033670033667	0.6632996632996633	0.23382901374203383	4266at7088.fasta
0	0	6	85	12				12136at7088.fasta
0	0	193	534	2				627at7088.fasta
2	2	151	165	42	1.0927152317880795	-0.0927152317880795	1.0	10482at7088.fasta
0	2	165	118	55	0.0	1.0		9647at7088.fasta
0	1	62	91	20	0.0	1.0		11493at7088.fasta
0	0	77	375	4				1368at7088.fasta
6	9	274	311	80	0.7566909975669099	0.24330900243309006	0.7943736028887824	1724at7088.fasta
0	0	16	97	2				13173at7088.fasta
3	4	207	399	34	1.4456521739130435	-0.44565217391304346	0.6959109866147437	1121at7088.fasta
0	2	31	82	2	0.0	1.0		12960at7088.fasta
0	0	94	218	3				4631at7088.fasta
0	0	594	532	1046				382at7088.fasta
1	2	308	209	515	0.3392857142857143	0.6607142857142857	0.5690643288909185	1992at7088.fasta
0	0	98	163	7				7153at7088.fasta
0	1	62	213	13	0.0	1.0		4854at7088.fasta
1	1	107	116	178	1.0841121495327102	-0.08411214953271018	1.0	5787at7088.fasta
0	0	12	66	3				12680at7088.fasta
0	0	257	156	50				5702at7088.fasta
0	0	71	76	51				9688at7088.fasta
0	0	49	161	114				7205at7088.fasta
0	0	282	257	129				2530at7088.fasta
0	0	57	51	13				13995at7088.fasta
11	30	176	713	41	1.4854166666666666	-0.4854166666666666	0.3170049133772207	355at7088.fasta
0	0	476	633	68				326at7088.fasta
1	1	198	162	107	0.8181818181818181	0.18181818181818188	1.0	4024at7088.fasta
0	0	285	263	114				2084at7088.fasta
0	0	234	313	94				3133at7088.fasta
0	2	21	103	27	0.0	1.0		9595at7088.fasta
0	0	283	204	13				3709at7088.fasta
0	6	121	190	48	0.0	1.0		9052at7088.fasta
8	0	89	234	19				5571at7088.fasta
0	1	80	86	2	0.0	1.0		11910at7088.fasta
0	1	109	163	47	0.0	1.0		8976at7088.fasta
0	0	28	33	9				15080at7088.fasta
0	4	69	100	12	0.0	1.0		8812at7088.fasta
4	5	152	247	167	1.3	-0.30000000000000004	0.7368119913232354	5410at7088.fasta
22	13	306	263	47	1.4544997486173956	-0.4544997486173956	0.3824033445530887	2910at7088.fasta
0	0	23	158	0				8427at7088.fasta
2	15	200	206	3	0.13733333333333334	0.8626666666666667	0.00227330637579684	2744at7088.fasta
1	2	31	85	15	1.370967741935484	-0.370967741935484	1.0	11516at7088.fasta
0	3	118	130	14	0.0	1.0		8040at7088.fasta
1	0	98	99	79				10001at7088.fasta
0	0	83	133	17				9836at7088.fasta
2	3	84	146	25	1.1587301587301588	-0.15873015873015883	1.0	8881at7088.fasta
0	0	41	60	9				13199at7088.fasta
1	1	41	54	5	1.3170731707317072	-0.31707317073170715	1.0	14641at7088.fasta
3	1	326	231	73	2.125766871165644	-1.1257668711656441	0.645901520629026	2191at7088.fasta
6	4	304	149	55	0.7351973684210525	0.26480263157894746	0.7361912796263668	11582at7088.fasta
0	3	40	189	177	0.0	1.0		8732at7088.fasta
0	0	101	196	28				5570at7088.fasta
1	7	224	323	42	0.20599489795918366	0.7940051020408163	0.15114206601004293	3666at7088.fasta
1	0	135	107	82				11416at7088.fasta
0	0	60	78	1				14028at7088.fasta
0	2	83	187	65	0.0	1.0		5046at7088.fasta
0	1	179	140	183	0.0	1.0		7972at7088.fasta
2	13	339	269	22	0.12207851145904244	0.8779214885409575	0.00115474126153609	4434at7088.fasta
2	5	60	188	19	1.2533333333333334	-0.2533333333333334	0.6785992746206387	6938at7088.fasta
0	0	31	225	1				4190at7088.fasta
0	0	142	287	64				4238at7088.fasta
4	21	300	548	73	0.34793650793650793	0.652063492063492	0.054181279288518056	609at7088.fasta
3	1	1198	701	220	1.7554257095158599	-0.7554257095158599	1.0	316at7088.fasta
7	8	422	386	251	0.8003554502369667	0.19964454976303325	0.7959995356534731	2097at7088.fasta
0	1	22	45	11	0.0	1.0		15247at7088.fasta
26	6	145	147	168	4.393103448275862	-3.3931034482758617	0.0006431864469376048	5639at7088.fasta
1	10	354	577	32	0.16299435028248588	0.8370056497175141	0.06058088151760582	866at7088.fasta
0	1	43	99	16	0.0	1.0		11342at7088.fasta
0	0	81	75	10				9780at7088.fasta
2	0	71	117	2				8860at7088.fasta
0	0	49	32	5				15107at7088.fasta
6	2	40	107	15	8.025	-7.025	0.008903659159794875	11403at7088.fasta
0	0	122	306	34				1927at7088.fasta
0	0	41	93	4				12354at7088.fasta
0	0	305	397	40				1441at7088.fasta
2	6	153	266	11	0.579520697167756	0.420479302832244	0.7163750419955266	2295at7088.fasta
6	16	153	205	14	0.5024509803921569	0.49754901960784315	0.18494090464255314	3966at7088.fasta
0	0	82	100	181				9866at7088.fasta
3	3	239	380	10	1.589958158995816	-0.589958158995816	0.6815303513652702	2138at7088.fasta
1	0	23	321	26				1114at7088.fasta
3	9	187	384	53	0.6844919786096256	0.31550802139037437	0.759403732089707	2124at7088.fasta
1	1	49	110	31	2.2448979591836737	-1.2448979591836737	0.5260093167701863	10940at7088.fasta
3	5	152	96	33	0.37894736842105264	0.6210526315789473	0.2700434235362692	9301at7088.fasta
10	12	404	316	57	0.6518151815181519	0.3481848184818481	0.3853318231187355	1845at7088.fasta
0	0	84	163	10				5713at7088.fasta
4	17	73	289	83	0.9315068493150686	0.06849315068493145	1.0	2194at7088.fasta
4	3	98	212	15	2.8843537414965983	-1.8843537414965983	0.21744544141090705	5693at7088.fasta
0	0	156	216	221				2182at7088.fasta
0	5	54	150	90	0.0	1.0		8578at7088.fasta
4	21	232	629	60	0.5164203612479474	0.48357963875205257	0.2599057132457091	401at7088.fasta
0	1	97	119	23	0.0	1.0		6703at7088.fasta
2	0	49	100	5				10582at7088.fasta
0	0	87	275	0				3122at7088.fasta
