Pn	Ps	Dn	Ds	skipped_codons	NI	alpha	pvalue	file
3	7	304	604	178	0.8515037593984962	0.1484962406015038	1.0	556at7088.fasta
0	0	50	72	10				14165at7088.fasta
0	0	48	308	10				1787at7088.fasta
0	2	163	101	36	0.0	1.0		12183at7088.fasta
0	0	13	56	33				12517at7088.fasta
0	1	48	191	92	0.0	1.0		11507at7088.fasta
1	1	136	229	0	1.6838235294117645	-0.6838235294117645	1.0	3514at7088.fasta
2	11	71	254	14	0.6504481434058899	0.34955185659411014	0.7419781437024993	4266at7088.fasta
0	0	4	79	5				12136at7088.fasta
0	0	85	483	0				627at7088.fasta
2	3	80	178	14	1.4833333333333334	-0.4833333333333334	0.6485712313771931	10482at7088.fasta
0	2	132	122	49	0.0	1.0		9647at7088.fasta
0	1	49	79	20	0.0	1.0		11493at7088.fasta
0	0	80	363	5				1368at7088.fasta
7	8	211	326	19	1.3518957345971563	-0.3518957345971563	0.5990876388093108	1724at7088.fasta
0	0	11	96	2				13173at7088.fasta
3	4	160	307	30	1.4390625	-0.4390624999999999	0.6962105930652209	1121at7088.fasta
0	2	22	76	3	0.0	1.0		12960at7088.fasta
0	0	63	211	0				4631at7088.fasta
0	0	433	599	671				382at7088.fasta
1	2	262	243	44	0.4637404580152672	0.5362595419847328	0.611382646005931	1992at7088.fasta
0	0	64	149	6				7153at7088.fasta
0	1	62	202	20	0.0	1.0		4854at7088.fasta
1	1	85	111	158	1.3058823529411765	-0.3058823529411765	1.0	5787at7088.fasta
0	0	5	63	0				12680at7088.fasta
0	0	119	227	17				5702at7088.fasta
0	1	66	98	18	0.0	1.0		9688at7088.fasta
0	0	34	119	121				7205at7088.fasta
0	0	234	228	93				2530at7088.fasta
0	0	30	65	7				13995at7088.fasta
11	30	105	675	38	2.3571428571428568	-1.3571428571428568	0.03425970943946115	355at7088.fasta
0	0	303	684	73				326at7088.fasta
1	1	126	212	59	1.6825396825396826	-0.6825396825396826	1.0	4024at7088.fasta
0	0	203	262	119				2084at7088.fasta
0	0	157	339	4				3133at7088.fasta
0	2	33	94	23	0.0	1.0		9595at7088.fasta
