Pn	Ps	Dn	Ds	skipped_codons	NI	alpha	pvalue	file
3	7	332	690	103	0.8907056798623063	0.10929432013769369	1.0	556at7088.fasta
0	0	52	70	0				14165at7088.fasta
0	0	57	300	9				1787at7088.fasta
1	1	145	83	43	0.5724137931034483	0.4275862068965517	1.0	12183at7088.fasta
0	0	14	68	2				12517at7088.fasta
0	1	79	190	15	0.0	1.0		11507at7088.fasta
1	1	108	203	77	1.8796296296296295	-0.8796296296296295	1.0	3514at7088.fasta
2	11	97	240	0	0.4498594189315839	0.5501405810684161	0.3651967358393198	4266at7088.fasta
0	0	3	72	5				12136at7088.fasta
0	0	98	489	2				627at7088.fasta
2	3	58	184	7	2.114942528735632	-1.1149425287356318	0.5975878246528884	10482at7088.fasta
0	2	122	141	21	0.0	1.0		9647at7088.fasta
0	1	47	71	7	0.0	1.0		11493at7088.fasta
0	0	68	324	5				1368at7088.fasta
7	7	248	296	33	1.1935483870967742	-0.19354838709677424	0.7907515976598036	1724at7088.fasta
0	0	16	93	14				13173at7088.fasta
3	4	172	302	33	1.316860465116279	-0.31686046511627897	0.708806050110193	1121at7088.fasta
0	2	23	77	1	0.0	1.0		12960at7088.fasta
0	0	71	209	0				4631at7088.fasta
0	0	452	598	651				382at7088.fasta
1	2	251	215	108	0.42828685258964144	0.5717131474103585	0.5982834960430923	1992at7088.fasta
0	0	36	155	14				7153at7088.fasta
0	1	37	214	15	0.0	1.0		4854at7088.fasta
1	1	80	111	165	1.3875	-0.38749999999999996	1.0	5787at7088.fasta
0	0	4	67	0				12680at7088.fasta
0	0	93	205	22				5702at7088.fasta
0	1	63	87	1	0.0	1.0		9688at7088.fasta
0	0	41	135	104				7205at7088.fasta
0	0	234	271	104				2530at7088.fasta
0	0	31	52	5				13995at7088.fasta
11	30	101	640	29	2.3234323432343236	-1.3234323432343236	0.03510802662252335	355at7088.fasta
0	0	275	664	73				326at7088.fasta
1	1	109	196	32	1.7981651376146788	-0.7981651376146788	1.0	4024at7088.fasta
0	0	176	258	134				2084at7088.fasta
0	0	123	306	15				3133at7088.fasta
0	2	16	90	32	0.0	1.0		9595at7088.fasta
0	0	177	219	1				3709at7088.fasta
0	6	79	187	5	0.0	1.0		9052at7088.fasta
8	0	81	208	21				5571at7088.fasta
0	1	53	82	6	0.0	1.0		11910at7088.fasta
0	1	59	187	17	0.0	1.0		8976at7088.fasta
0	0	19	35	9				15080at7088.fasta
0	3	58	91	22	0.0	1.0		8812at7088.fasta
4	5	104	245	146	1.8846153846153848	-0.8846153846153848	0.46179211192828223	5410at7088.fasta
21	13	237	250	60	1.7039922103213243	-0.7039922103213243	0.15792371612860256	2910at7088.fasta
0	0	14	129	0				8427at7088.fasta
2	15	117	215	6	0.24501424501424499	0.754985754985755	0.06381738187402497	2744at7088.fasta
1	3	24	94	0	1.3055555555555556	-0.3055555555555556	1.0	11516at7088.fasta
0	3	81	138	19	0.0	1.0		8040at7088.fasta
1	0	61	89	70				10001at7088.fasta
0	0	79	112	8				9836at7088.fasta
2	3	39	160	3	2.735042735042735	-1.735042735042735	0.2637145243996713	8881at7088.fasta
0	0	35	56	3				13199at7088.fasta
0	1	34	42	3	0.0	1.0		14641at7088.fasta
3	1	253	223	84	2.6442687747035576	-1.6442687747035576	0.6267831431092434	2191at7088.fasta
6	4	240	157	31	0.98125	0.018750000000000044	1.0	11582at7088.fasta
0	3	29	166	57	0.0	1.0		8732at7088.fasta
0	0	58	180	13				5570at7088.fasta
2	7	158	316	33	0.5714285714285714	0.4285714285714286	0.7243094666131724	3666at7088.fasta
1	0	63	127	41				11416at7088.fasta
0	0	38	65	25				14028at7088.fasta
0	2	69	175	4	0.0	1.0		5046at7088.fasta
0	1	130	171	84	0.0	1.0		7972at7088.fasta
2	13	159	311	44	0.30091920657958393	0.6990807934204161	0.16073787612402246	4434at7088.fasta
2	5	44	180	1	1.6363636363636365	-0.6363636363636365	0.628557134453904	6938at7088.fasta
0	0	16	190	1				4190at7088.fasta
0	0	99	293	26				4238at7088.fasta
4	21	191	523	64	0.5215656943405634	0.47843430565943657	0.35449249809930095	609at7088.fasta
3	1	887	754	116	2.550169109357385	-1.5501691093573848	0.6295898456892872	316at7088.fasta
3	8	155	362	399	0.8758064516129032	0.12419354838709684	1.0	2097at7088.fasta
0	1	25	37	15	0.0	1.0		15247at7088.fasta
20	4	106	128	161	6.037735849056604	-5.037735849056604	0.0004117363598471086	5639at7088.fasta
