Pn	Ps	Dn	Ds	skipped_codons	NI	alpha	pvalue	file
3	7	470	609	233	0.5553191489361702	0.4446808510638298	0.5276204714207597	556at7088.fasta
0	0	79	56	12				14165at7088.fasta
0	0	93	343	11				1787at7088.fasta
1	2	219	81	49	0.18493150684931506	0.815068493150685	0.18310242060266838	12183at7088.fasta
0	0	16	88	2				12517at7088.fasta
0	0	57	105	219				11507at7088.fasta
1	1	253	188	109	0.7430830039525692	0.2569169960474308	1.0	3514at7088.fasta
1	10	153	198	87	0.12941176470588237	0.8705882352941177	0.027890231395550684	4266at7088.fasta
0	0	14	90	8				12136at7088.fasta
0	0	224	522	7				627at7088.fasta
0	1	129	88	204	0.0	1.0		10482at7088.fasta
0	2	196	97	51	0.0	1.0		9647at7088.fasta
0	1	70	81	5	0.0	1.0		11493at7088.fasta
0	0	93	308	87				1368at7088.fasta
5	7	354	213	142	0.4297820823244552	0.5702179176755449	0.22732523199385551	1724at7088.fasta
0	0	35	106	2				13173at7088.fasta
3	4	258	352	174	1.0232558139534884	-0.023255813953488413	1.0	1121at7088.fasta
0	2	40	76	2	0.0	1.0		12960at7088.fasta
0	0	134	211	5				4631at7088.fasta
0	0	599	473	862				382at7088.fasta
1	2	320	129	589	0.2015625	0.7984375	0.20272616080947617	1992at7088.fasta
0	0	114	139	23				7153at7088.fasta
0	1	137	163	45	0.0	1.0		4854at7088.fasta
1	1	124	73	185	0.5887096774193549	0.41129032258064513	1.0	5787at7088.fasta
0	0	22	71	4				12680at7088.fasta
0	0	212	184	44				5702at7088.fasta
0	1	93	107	29	0.0	1.0		9688at7088.fasta
0	0	69	125	104				7205at7088.fasta
0	0	316	237	166				2530at7088.fasta
0	0	70	44	21				13995at7088.fasta
11	30	246	680	199	1.013550135501355	-0.013550135501354976	1.0	355at7088.fasta
0	0	545	620	87				326at7088.fasta
1	1	196	146	151	0.7448979591836734	0.2551020408163266	1.0	4024at7088.fasta
0	0	265	267	203				2084at7088.fasta
0	0	269	204	206				3133at7088.fasta
0	2	29	97	25	0.0	1.0		9595at7088.fasta
0	0	328	189	12				3709at7088.fasta
0	6	127	164	20	0.0	1.0		9052at7088.fasta
8	0	102	230	21				5571at7088.fasta
0	1	98	73	2	0.0	1.0		11910at7088.fasta
0	0	138	161	67				8976at7088.fasta
0	0	16	42	12				15080at7088.fasta
0	2	69	79	50	0.0	1.0		8812at7088.fasta
4	5	155	225	250	1.1612903225806452	-0.16129032258064524	1.0	5410at7088.fasta
24	12	319	283	84	1.774294670846395	-0.7742946708463949	0.12329586950538249	2910at7088.fasta
0	0	68	126	0				8427at7088.fasta
2	15	286	196	3	0.09137529137529138	0.9086247086247086	0.0001673090057334738	2744at7088.fasta
1	2	80	70	16	0.4375	0.5625	0.6014188177885305	11516at7088.fasta
0	3	134	115	66	0.0	1.0		8040at7088.fasta
1	1	114	97	68	0.8508771929824561	0.14912280701754388	1.0	10001at7088.fasta
0	0	112	123	48				9836at7088.fasta
2	3	104	119	43	0.7628205128205128	0.23717948717948723	1.0	8881at7088.fasta
0	0	60	56	11				13199at7088.fasta
0	1	41	48	3	0.0	1.0		14641at7088.fasta
3	1	324	233	97	2.1574074074074074	-1.1574074074074074	0.6441299113930506	2191at7088.fasta
